web-scraper-order,web-scraper-start-url,size
"1728486848-186","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","647.0 Mbytes"
"1728486848-187","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","667.5 Mbytes"
"1728486848-188","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","669.1 Mbytes"
"1728486848-189","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","655.9 Mbytes"
"1728486848-190","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","684.6 Mbytes"
"1728486848-191","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","676.1 Mbytes"
"1728486848-192","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","702.8 Mbytes"
"1728486848-193","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","701.1 Mbytes"
"1728486848-194","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","632.4 Mbytes"
"1728486848-195","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","696.1 Mbytes"
"1728486848-196","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.9 Mbytes"
"1728486848-197","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","680.0 Mbytes"
"1728486848-198","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","651.8 Mbytes"
"1728486848-199","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","664.2 Mbytes"
"1728486848-200","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","666.0 Mbytes"
"1728486848-201","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","654.1 Mbytes"
"1728486848-202","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","682.9 Mbytes"
"1728486848-203","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","674.7 Mbytes"
"1728486848-204","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","697.2 Mbytes"
"1728486848-205","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","704.8 Mbytes"
"1728486848-206","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","658.2 Mbytes"
