name,url,p1,p2,p3,p4
air.2m.1997.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1997.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1998.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1998.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.1999.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.1999.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2000.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2000.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2001.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2001.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2002.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2002.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2003.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2003.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2004.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2004.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2005.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2005.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2006.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2006.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2007.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2007.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2008.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2008.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2009.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2009.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2010.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2010.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2011.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2011.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2012.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2012.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.2m.2013.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.2m.2013.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
